date,IBM,GE,LLY,F,BAC,KR,ITUB,GG,SIRI,ACB,VALE,PFE,CTL,T,ECA,ABEV,CVS,MRVL,CSCO,MO,BMY,WFC,HBAN
05.07.17,-0.008561289,-0.038767434,-0.013390322,-0.010676248,-0.008462714,-0.004314087,-0.016201959,-0.004680228,-0.012999286,0,0.002285768,-0.012563676,0.006717063,-0.02496806,-0.00701751,-0.027702532,-0.011997423,-0.016049742,-0.012615445,-0.003894464,-0.019171056,-0.003951818,-0.010196763
06.07.17,0.003799558,-0.006099928,0.008420361,0.007130148,0.004844613,0.001296206,-0.004547525,-0.02213527,0.003731344,-0.024541086,0.001140928,0.003905586,-0.012631715,-0.005393777,-0.015375833,0.020389892,-0.000889732,0.003726679,0.005842286,-0.000942313,0.011332095,0.00323451,0.002193766
07.07.17,0.003133543,-0.004215332,-0.000121555,0.007079669,0.002413495,-0.024034333,0.015377945,0.018218289,-0.005602206,0.042559574,0.035838066,0.001797525,-0.005523748,-0.004064433,0.04315537,0.025363741,-0.006378386,-0.000620051,0.002585649,-0.00757064,0.000357662,-0.00269472,0
10.07.17,-0.00150025,0.012972341,0.000850388,0.003521127,-0.011719633,0.000884109,0.016911824,0.007818678,0.009319679,0.015943692,0.013114929,-0.007209454,-0.009417849,-0.006264581,0.012478852,0.008904727,-0.006419331,-0.003729114,0.003544409,-0.003534562,-0.010785624,-0.009943121,0.001459888
11.07.17,0.003323634,0.00755286,0.013868194,0.007877516,-0.010214593,0.00748408,0.024412698,0.011614503,0.003703705,0.09120098,0.010799282,0.001506343,-0.032789823,0.006264581,0.031079054,0.024519677,-0.002450223,0.019118767,0.002248987,0.006244917,-0.00525508,0.002359084,0.00145769
12.07.17,-0.000455485,0.007869642,0.006208194,0.011270177,0.01102729,0.005249393,0.001721231,-0.007727969,0.003690038,-0.005899742,-0.026116906,0.001804438,0.012367679,-0.016977482,0.009788023,-0.003466205,0.006050108,0.005482697,0.00352397,-0.005564187,-0.006745131,0.00776388,0.01014504
13.07.17,0.003962721,-0.000373326,0.003919965,0.006872873,-0.016793422,0.003919019,0.009413839,0.010034828,0.009166002,0.005899742,0.019651321,0.00449713,0.009176341,0.002482422,0.02247286,0.01550413,0.000128356,0.007264005,0.004785449,0.006105398,0.008741694,-0.011031793,-0.005784537
14.07.17,-0.008006624,0.001492543,-0.008452924,0.005123791,-0.007878897,-0.006102869,-0.008554364,0.01221388,-0.003656308,0.040864748,0.005390869,-0.005398942,-0.004796199,0.002476275,-0.009569468,0.005115136,0.00473665,-0.019489027,0.002542911,-0.007603534,-0.006549061,-0.00510489,0.001449309
17.07.17,0.00644936,0.002606621,0.000717074,0.000851446,-0.005008393,-0.014091013,0.008554364,0.017300134,-0.009199732,0.001026215,0.012820676,0.003302829,-0.024332067,-0.011052826,0.014846545,0.001699194,-0.003838815,-0.003079839,0.000317417,-0.000545343,-0.000912978,0.001643689,-0.007267501
18.07.17,-0.042921066,0.001857689,0.006312251,0.006785431,0.006672245,0.017147103,-0.008554364,0.008908737,0.005530007,0.009188429,0,0.0077635,0.01555243,0.003882406,0.04527518,0.008453168,-0.007851261,0.016519217,0.012301035,0.002995661,0.006010363,0.002551476,-0.000729677
